date,Alameda,Contra Costa,Fresno,Kern,Los Angeles,Orange,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,Santa Clara,Stanislaus,Tulare,Ventura
2021-02-11,244.42857142857142,185.85714285714286,195.42857142857142,213.85714285714286,2108.5714285714284,474.7142857142857,495.7142857142857,268.7142857142857,412.2857142857143,660.5714285714286,171,289.57142857142856,144.85714285714286,105.28571428571429,256.7142857142857
2021-02-12,236.28571428571428,182.57142857142858,186.85714285714286,202,1943.142857142857,435.2857142857143,442.42857142857144,260.57142857142856,380,626.7142857142857,163,276.57142857142856,142.42857142857142,100.71428571428571,238
2021-02-13,222.85714285714286,181,178.71428571428572,193.85714285714286,1816.4285714285713,408.7142857142857,423.57142857142856,264.42857142857144,359.14285714285717,599,155.57142857142858,265,134.14285714285714,101,227.14285714285714
2021-02-14,217.14285714285714,177.28571428571428,178.28571428571428,185.14285714285714,1746.2857142857142,385.85714285714283,404.85714285714283,257.42857142857144,335.85714285714283,575.2857142857143,154.28571428571428,259.85714285714283,130,98,221.57142857142858
2021-02-15,196.57142857142858,164.71428571428572,169.71428571428572,172.85714285714286,1544.7142857142858,344.7142857142857,376.57142857142856,239.14285714285714,298.7142857142857,533.2857142857143,129.28571428571428,239.85714285714286,117.85714285714286,91.42857142857143,202.57142857142858
2021-02-16,187.14285714285714,160,168,162.57142857142858,1445.4285714285713,324.2857142857143,346.2857142857143,244.57142857142858,279.7142857142857,500.57142857142856,129.85714285714286,226.85714285714286,114,86.57142857142857,188.14285714285714
2021-02-17,174,154.14285714285714,158.85714285714286,145.71428571428572,1344.4285714285713,311,319.85714285714283,236.71428571428572,259.42857142857144,473,122.42857142857143,219.14285714285714,107.57142857142857,77.14285714285714,173
2021-02-18,168.14285714285714,149.42857142857142,153.14285714285714,134,1248,289.14285714285717,300.42857142857144,223.42857142857142,238.14285714285714,443.7142857142857,116.85714285714286,218.28571428571428,106.85714285714286,69.28571428571429,158.42857142857142
2021-02-19,156.71428571428572,141.42857142857142,155.42857142857142,129.28571428571428,1151.7142857142858,268,288.2857142857143,211.57142857142858,223.42857142857142,415.42857142857144,104.71428571428571,213.85714285714286,100.42857142857143,64.57142857142857,148.42857142857142
2021-02-20,153,135.28571428571428,153,123.42857142857143,1087,260.14285714285717,273.57142857142856,199.57142857142858,213.57142857142858,402.2857142857143,101.28571428571429,220.14285714285714,97.28571428571429,59.714285714285715,136.14285714285714
2021-02-21,149.42857142857142,130.85714285714286,150.14285714285714,120.71428571428571,1044.4285714285713,255.14285714285714,262.57142857142856,193.28571428571428,207.28571428571428,389.7142857142857,101.85714285714286,219,95.28571428571429,58.142857142857146,129.57142857142858
2021-02-22,155.28571428571428,133.14285714285714,147.57142857142858,116.14285714285714,1000.4285714285714,254.85714285714286,250.71428571428572,194,196.57142857142858,381.42857142857144,109.28571428571429,222.57142857142858,98,57,125.71428571428571
2021-02-23,148.42857142857142,127.42857142857143,142.57142857142858,111.85714285714286,925.1428571428571,242.42857142857142,238.28571428571428,171,184.57142857142858,366.57142857142856,99.85714285714286,219.14285714285714,95,55.42857142857143,121.71428571428571
2021-02-24,143.14285714285714,125.42857142857143,141.14285714285714,112.57142857142857,869,224.14285714285714,228.42857142857142,157,180,354,96.71428571428571,211,89.14285714285714,57.57142857142857,117.57142857142857
