date,Alameda,Contra Costa,Fresno,Kern,Los Angeles,Orange,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,Santa Clara,Stanislaus,Tulare,Ventura
2020-03-24,0.2857142857142857,0.2857142857142857,0,0,3.5714285714285716,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.2857142857142857,1.7142857142857142,0,0,0.14285714285714285
2020-03-25,0.5714285714285714,0.42857142857142855,0,0,4.571428571428571,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,1,0.2857142857142857,2.7142857142857144,0,0,0.2857142857142857
2020-03-26,0.7142857142857143,0.42857142857142855,0,0,4.571428571428571,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.5714285714285714,1.1428571428571428,0.2857142857142857,2.7142857142857144,0,0,0.2857142857142857
2020-03-27,1,0.42857142857142855,0,0.14285714285714285,5.428571428571429,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5714285714285714,1.1428571428571428,0.2857142857142857,2.5714285714285716,0,0,0.5714285714285714
2020-03-28,1.4285714285714286,0.42857142857142855,0,0.14285714285714285,6.142857142857143,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.7142857142857143,1.1428571428571428,0.42857142857142855,2.5714285714285716,0,0.14285714285714285,0.5714285714285714
2020-03-29,1.1428571428571428,0.14285714285714285,0,0.14285714285714285,7.857142857142857,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.8571428571428571,1,0.5714285714285714,2.5714285714285716,0,0.14285714285714285,0.5714285714285714
2020-03-30,1.1428571428571428,0.14285714285714285,0,0.14285714285714285,8.428571428571429,0.8571428571428571,1.1428571428571428,0.42857142857142855,1,1.2857142857142858,0.7142857142857143,2.142857142857143,0,0.14285714285714285,0.5714285714285714
2020-03-31,1.2857142857142858,0.14285714285714285,0,0.14285714285714285,10.428571428571429,1.4285714285714286,1.5714285714285714,0.42857142857142855,0.8571428571428571,1.4285714285714286,0.7142857142857143,2.142857142857143,0,0.2857142857142857,0.5714285714285714
2020-04-01,1.2857142857142858,0,0.14285714285714285,0.14285714285714285,12.285714285714286,1.5714285714285714,1.7142857142857142,0.5714285714285714,1,1.4285714285714286,0.8571428571428571,1.5714285714285714,0,0.42857142857142855,0.7142857142857143
2020-04-02,1.2857142857142858,0.14285714285714285,0.14285714285714285,0.14285714285714285,15.142857142857142,1.5714285714285714,2.7142857142857144,0.5714285714285714,1.4285714285714286,2,0.8571428571428571,1.8571428571428572,0,0.5714285714285714,0.8571428571428571
2020-04-03,1.1428571428571428,0.42857142857142855,0.2857142857142857,0.14285714285714285,17.571428571428573,1.7142857142857142,3.2857142857142856,1,1.5714285714285714,2.2857142857142856,1,1.8571428571428572,0,0.7142857142857143,0.5714285714285714
2020-04-04,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,19.285714285714285,1.2857142857142858,3,1.4285714285714286,1.5714285714285714,2.4285714285714284,0.8571428571428571,1.8571428571428572,0,0.5714285714285714,0.5714285714285714
2020-04-05,1.1428571428571428,0.5714285714285714,0.42857142857142855,0.14285714285714285,20.714285714285715,1.4285714285714286,3.142857142857143,1.5714285714285714,2,3.857142857142857,0.7142857142857143,2,0,0.7142857142857143,0.42857142857142855
2020-04-06,1.4285714285714286,0.5714285714285714,0.42857142857142855,0.14285714285714285,21.571428571428573,1.2857142857142858,2.7142857142857144,1.7142857142857142,2.142857142857143,4,0.8571428571428571,1.8571428571428572,0,0.8571428571428571,0.42857142857142855
2020-04-07,1.7142857142857142,0.7142857142857143,0.42857142857142855,0.14285714285714285,23.285714285714285,0.8571428571428571,3,1.8571428571428572,2.4285714285714284,4,0.8571428571428571,2,0,1,0.5714285714285714
2020-04-08,1.8571428571428572,0.8571428571428571,0.5714285714285714,0.2857142857142857,26.285714285714285,1,3.142857142857143,2,2.4285714285714284,4.285714285714286,0.8571428571428571,1.8571428571428572,0,0.8571428571428571,0.2857142857142857
2020-04-09,2,0.8571428571428571,0.5714285714285714,0.2857142857142857,28.714285714285715,0.8571428571428571,2.4285714285714284,2,2,3.7142857142857144,0.7142857142857143,2.142857142857143,0,1,0.5714285714285714
2020-04-10,2.142857142857143,0.8571428571428571,0.5714285714285714,0.14285714285714285,29.714285714285715,1,2.4285714285714284,1.8571428571428572,2.5714285714285716,3.5714285714285716,0.5714285714285714,2.142857142857143,0.14285714285714285,1.1428571428571428,0.7142857142857143
2020-04-11,2.4285714285714284,1,0.7142857142857143,0.14285714285714285,31.142857142857142,1,2.7142857142857144,1.5714285714285714,2.857142857142857,3.4285714285714284,0.7142857142857143,2.7142857142857144,0.2857142857142857,1.2857142857142858,0.7142857142857143
2020-04-12,2.7142857142857144,0.8571428571428571,0.5714285714285714,0.14285714285714285,33.42857142857143,0.8571428571428571,3,1.2857142857142858,3,2.7142857142857144,0.7142857142857143,3.142857142857143,0.2857142857142857,1.1428571428571428,0.7142857142857143
2020-04-13,2.857142857142857,1,0.5714285714285714,0.14285714285714285,37.285714285714285,1.2857142857142858,3.857142857142857,1.4285714285714286,3.142857142857143,3.142857142857143,0.5714285714285714,3.142857142857143,0.5714285714285714,1,0.7142857142857143
2020-04-14,3,1.1428571428571428,0.5714285714285714,0.14285714285714285,40.42857142857143,1.4285714285714286,3.5714285714285716,1.2857142857142858,3.5714285714285716,3,0.42857142857142855,3.142857142857143,0.5714285714285714,1,0.5714285714285714
2020-04-15,2.7142857142857144,1.4285714285714286,0.2857142857142857,0,39.857142857142854,1.5714285714285714,4.571428571428571,1,3.857142857142857,3.2857142857142856,0.2857142857142857,3.4285714285714284,0.5714285714285714,1.1428571428571428,0.5714285714285714
2020-04-16,2.4285714285714284,1.5714285714285714,0.2857142857142857,0,43.142857142857146,2,5.142857142857143,0.8571428571428571,4.857142857142857,3.857142857142857,0.2857142857142857,3.2857142857142856,0.5714285714285714,1,0.14285714285714285
2020-04-17,2.857142857142857,1.2857142857142858,0.14285714285714285,0,44.42857142857143,1.7142857142857142,5.428571428571429,0.5714285714285714,4.714285714285714,4.714285714285714,0.2857142857142857,3.857142857142857,0.42857142857142855,1,0
2020-04-18,2.857142857142857,1.4285714285714286,0,0,46,1.8571428571428572,5.857142857142857,0.5714285714285714,4.428571428571429,5.571428571428571,0.14285714285714285,3.5714285714285716,0.2857142857142857,0.8571428571428571,0
2020-04-19,2.4285714285714284,1.4285714285714286,0,0,45.57142857142857,2,6.142857142857143,0.7142857142857143,4.428571428571429,5.857142857142857,0.14285714285714285,3,0.2857142857142857,1.1428571428571428,0
2020-04-20,2.2857142857142856,1.4285714285714286,0,0.14285714285714285,46.57142857142857,1.5714285714285714,5.857142857142857,0.42857142857142855,4.857142857142857,5.857142857142857,0.2857142857142857,3.5714285714285716,0,1.1428571428571428,0.2857142857142857
2020-04-21,1.8571428571428572,1.1428571428571428,0,0.14285714285714285,45.42857142857143,1.8571428571428572,6.428571428571429,0.7142857142857143,4.142857142857143,5.714285714285714,0.42857142857142855,3.7142857142857144,0,1.2857142857142858,0.2857142857142857
2020-04-22,2,0.7142857142857143,0,0.14285714285714285,47.42857142857143,1.7142857142857142,6.142857142857143,1.1428571428571428,4.285714285714286,5.142857142857143,0.42857142857142855,3.5714285714285716,0.14285714285714285,1.8571428571428572,0.2857142857142857
2020-04-23,2.2857142857142856,0.5714285714285714,0,0.14285714285714285,45.857142857142854,1.8571428571428572,5.714285714285714,1.1428571428571428,3.7142857142857144,5.714285714285714,0.7142857142857143,3.2857142857142856,0.14285714285714285,1.8571428571428572,0.2857142857142857
2020-04-24,1.8571428571428572,0.7142857142857143,0,0.14285714285714285,46.285714285714285,1.8571428571428572,6,1.1428571428571428,4.142857142857143,5.142857142857143,1,2.7142857142857144,0.14285714285714285,1.8571428571428572,0.2857142857142857
2020-04-25,1.4285714285714286,0.5714285714285714,0,0.14285714285714285,46.57142857142857,1.7142857142857142,7.142857142857143,1,4,4.571428571428571,1.1428571428571428,2.2857142857142856,0.14285714285714285,1.8571428571428572,0.42857142857142855
